model, intentionality_user, intentionality_in_order
Model_D,1.2656846319740236,1.5870446633453623
Model_D,1.0,1.349230805240733
Model_D,1.349230805240733,1.2656846319740236
Model_D,1.0,1.1700839026238723
Model_D,1.148324420153749,1.148324420153749
Model_D,1.0,1.135026479282073
Model_D,1.135026479282073,1.0
Model_D,1.0,1.0
Model_D,1.5870446633453623,1.0
Model_D,1.1700839026238723,1.0
Model_E,1.0,1.4130596973893963
Model_E,1.0,1.2858454049231165
Model_E,1.188721875540867,1.188721875540867
Model_E,1.0,1.0
Model_E,1.2858454049231165,1.0
Model_E,1.4130596973893963,1.0
Model_E,1.0,1.0
Model_E,1.0,1.0
Model_E,1.0,1.0
Model_E,1.0,1.0
Model_F,1.0,1.2182847575023992
Model_F,1.2182847575023992,1.0817041659455104
Model_F,1.0,1.0817041659455104
Model_F,1.0,1.0
Model_F,1.0,1.0
Model_F,1.0817041659455104,1.0
Model_F,1.0,1.0
Model_F,1.0,1.0
Model_F,1.0,1.0
Model_F,1.0817041659455104,1.0
